symbol,date,price
91,May 2012,41.9
91,Jun 2012,40.39
91,Jul 2012,41.86
91,Aug 2012,43.53
91,Sep 2012,43.08
91,Oct 2012,43.36
91,Nov 2012,43.38
91,Dec 2012,43.47
91,Jan 2013,44.06
91,Feb 2013,45.76
91,Mar 2013,45.74
91,Apr 2013,0
91,May 2013,0
91,Jun 2013,0
91,Jul 2013,0
91,Aug 2013,0
91,Sep 2013,0
91,Oct 2013,0
91,Nov 2013,0
91,Dec 2013,0
91,Jan 2014,0
91,Feb 2014,0
91,Mar 2014,0
91,Apr 2014,0
91,May 2014,0
91,Jun 2014,0
91,Jul 2014,0
91,Aug 2014,0
91,Sep 2014,0
91,Oct 2014,0
91,Nov 2014,0
91,Dec 2014,0
91,Jan 2015,0
91,Feb 2015,0
91,Mar 2015,0
91,Apr 2015,0
91,May 2015,0
91,Jun 2015,0
E20,Jan 2003,0
E20,Feb 2003,0
E20,Mar 2003,0
E20,Apr 2003,0
E20,May 2003,0
E20,Jun 2003,0
E20,Jul 2003,0
E20,Aug 2003,0
E20,Sep 2003,0
E20,Oct 2003,0
E20,Nov 2003,0
E20,Dec 2003,0
E20,Jan 2004,0
E20,Feb 2004,0
E20,Mar 2004,0
E20,Apr 2004,0
E20,May 2004,0
E20,Jun 2004,0
E20,Jul 2004,0
E20,Aug 2004,0
E20,Sep 2004,0
E20,Oct 2004,0
E20,Nov 2004,0
E20,Dec 2004,0
E20,Jan 2005,0
E20,Feb 2005,0
E20,Mar 2005,0
E20,Apr 2005,0
E20,May 2005,0
E20,Jun 2005,0
E20,Jul 2005,0
E20,Aug 2005,0
E20,Sep 2005,0
E20,Oct 2005,0
E20,Nov 2005,0
E20,Dec 2005,0
E20,Jan 2006,0
E20,Feb 2006,0
E20,Mar 2006,0
E20,Apr 2006,0
E20,May 2006,0
E20,Jun 2006,0
E20,Jul 2006,0
E20,Aug 2006,0
E20,Sep 2006,0
E20,Oct 2006,0
E20,Nov 2006,0
E20,Dec 2006,0
E20,Jan 2007,0
E20,Feb 2007,0
E20,Mar 2007,0
E20,Apr 2007,0
E20,May 2007,0
E20,Jun 2007,0
E20,Jul 2007,0
E20,Aug 2007,0
E20,Sep 2007,0
E20,Oct 2007,0
E20,Nov 2007,0
E20,Dec 2007,0
E20,Jan 2008,27.47
E20,Feb 2008,26.94
E20,Mar 2008,28.01
E20,Apr 2008,29.31
E20,May 2008,32.18
E20,Jun 2008,35.17
E20,Jul 2008,35.1
E20,Aug 2008,28.04
E20,Sep 2008,27.02
